,LKW (S),Motorrad (L),PKW (S),Transporter (L),Transporter (S),PKW (L),Motorrad (S),Kleintransporter (S),LKW (L),Kleintransporter (L)
2023-01-02 14:20:00+00:00,1,0,94,0,2,0,0,0,0,0
2023-01-02 14:30:00+00:00,0,0,103,0,6,0,0,0,0,0
2023-01-02 14:40:00+00:00,1,0,93,0,7,0,0,0,0,0
2023-01-02 14:50:00+00:00,0,0,84,0,4,0,0,0,0,0
2023-01-02 15:00:00+00:00,0,0,85,0,7,0,0,0,0,0
2023-01-02 15:10:00+00:00,0,0,100,0,7,0,0,0,0,0
2023-01-02 15:20:00+00:00,0,0,98,0,6,0,0,0,0,0
2023-01-02 15:30:00+00:00,0,0,88,0,4,0,0,0,0,0
2023-01-02 15:40:00+00:00,0,0,108,0,3,0,0,0,0,0
2023-01-02 15:50:00+00:00,0,0,88,0,4,1,0,0,0,0
2023-01-02 16:00:00+00:00,0,0,88,0,5,0,1,0,0,0
2023-01-02 16:10:00+00:00,1,1,90,1,4,0,1,0,1,0
2023-01-02 16:20:00+00:00,0,0,91,0,5,0,0,0,0,0
2023-01-02 16:30:00+00:00,0,1,82,0,6,0,0,0,0,0
2023-01-02 16:40:00+00:00,0,0,68,0,8,1,0,0,0,0
2023-01-02 16:50:00+00:00,0,0,61,0,2,0,0,0,0,0
2023-01-02 17:00:00+00:00,3,0,76,0,8,0,0,0,0,0
2023-01-02 17:10:00+00:00,0,0,57,0,8,0,1,0,0,0
2023-01-02 17:20:00+00:00,0,0,61,0,4,0,0,0,0,0
2023-01-02 17:30:00+00:00,0,0,63,0,6,0,1,0,0,0
2023-01-02 17:40:00+00:00,0,0,59,0,6,0,0,0,0,0
2023-01-02 17:50:00+00:00,0,0,50,0,7,0,0,0,0,0
2023-01-02 18:00:00+00:00,0,0,45,0,5,0,0,0,0,0
2023-01-02 18:10:00+00:00,0,0,51,0,2,0,0,0,1,0
2023-01-02 18:20:00+00:00,0,0,45,0,0,0,1,0,0,0
2023-01-02 18:30:00+00:00,0,0,43,0,5,0,0,0,0,0
2023-01-02 18:40:00+00:00,0,0,41,1,3,0,0,0,0,0
