,Motorrad (R),LKW (S),LKW (R),Transporter (S),Kleintransporter (R),Kleintransporter (S),PKW (S),Fahrräder,Motorrad (S),PKW (R),Transporter (R)
2023-01-03 05:50:00+00:00,,0,,9,,1,39,8,1,,
2023-01-03 06:00:00+00:00,,1,,15,,0,21,18,1,,
2023-01-03 06:10:00+00:00,,1,,17,,0,19,5,0,,
2023-01-03 06:20:00+00:00,,1,,18,,1,29,7,0,,
2023-01-03 06:30:00+00:00,,1,,11,,2,38,3,1,,
2023-01-03 06:40:00+00:00,,0,,16,,0,20,14,2,,
2023-01-03 06:50:00+00:00,,0,,18,,0,33,11,0,,
2023-01-03 07:00:00+00:00,,3,,30,,1,28,15,1,,
2023-01-03 07:10:00+00:00,,3,,12,,2,43,15,0,,
2023-01-03 07:20:00+00:00,,1,,16,,5,32,13,2,,
2023-01-03 07:30:00+00:00,,1,,19,,0,41,16,1,,
2023-01-03 07:40:00+00:00,,3,,13,,3,40,20,0,,
2023-01-03 07:50:00+00:00,,1,,24,,0,27,13,3,,
2023-01-03 08:00:00+00:00,,1,,22,,2,44,16,0,,
2023-01-03 08:10:00+00:00,,7,,17,,5,21,21,0,,
2023-01-03 08:20:00+00:00,,0,,16,,2,28,12,1,,
2023-01-03 08:30:00+00:00,,2,,20,,2,29,11,3,,
2023-01-03 08:40:00+00:00,,1,,12,,1,17,9,5,,
2023-01-03 08:50:00+00:00,,0,,26,,0,33,6,0,,
2023-01-03 09:00:00+00:00,,1,,23,,1,28,9,0,,
2023-01-03 09:10:00+00:00,,3,,17,,5,35,15,0,,
2023-01-03 09:20:00+00:00,,2,,16,,5,19,9,2,,
2023-01-03 09:30:00+00:00,,0,,21,,1,29,7,1,,
2023-01-03 09:40:00+00:00,,0,,23,,1,42,9,1,,
2023-01-03 09:50:00+00:00,,4,,21,,0,39,14,1,,
2023-01-03 10:00:00+00:00,,1,,21,,5,31,8,3,,
2023-01-03 10:10:00+00:00,,0,,18,,2,42,14,1,,
2023-01-03 10:20:00+00:00,,1,,22,,0,37,8,0,,
2023-01-03 10:30:00+00:00,,3,,14,,0,42,5,2,,
2023-01-03 10:40:00+00:00,,1,,21,,2,43,9,2,,
2023-01-03 10:50:00+00:00,,0,,17,,0,40,4,6,,
2023-01-03 11:00:00+00:00,,1,,18,,0,40,7,0,,
2023-01-03 11:10:00+00:00,,0,,10,,0,32,8,2,,
2023-01-03 11:20:00+00:00,,1,,14,,4,37,17,0,,
2023-01-03 11:30:00+00:00,,0,,9,,1,32,8,1,,
2023-01-03 11:40:00+00:00,,1,,18,,0,37,11,1,,
2023-01-03 11:50:00+00:00,,0,,12,,1,39,10,1,,
2023-01-03 12:00:00+00:00,,1,,18,,3,33,11,2,,
2023-01-03 12:10:00+00:00,,0,,15,,0,46,14,2,,
2023-01-03 12:20:00+00:00,,0,,18,,0,49,18,3,,
2023-01-03 12:30:00+00:00,,0,,16,,0,53,15,2,,
2023-01-03 12:40:00+00:00,,0,,23,,0,46,14,5,,
2023-01-03 12:50:00+00:00,,0,,15,,1,35,10,1,,
2023-01-03 13:00:00+00:00,,0,,26,,1,54,10,1,,
2023-01-03 13:10:00+00:00,,0,,21,,0,47,10,2,,
2023-01-03 13:20:00+00:00,,0,,33,,0,51,7,3,,
2023-01-03 13:30:00+00:00,,0,,18,,0,57,11,1,,
2023-01-03 13:40:00+00:00,,1,,18,,0,48,16,2,,
2023-01-03 13:50:00+00:00,,0,,19,,0,66,10,3,,
2023-01-03 14:00:00+00:00,,0,,13,,0,53,8,5,,
2023-01-03 14:10:00+00:00,,0,,9,,0,60,12,1,,
2023-01-03 14:20:00+00:00,,4,,21,,0,57,8,2,,
2023-01-03 14:30:00+00:00,,4,,16,,4,56,10,6,,
2023-01-03 14:40:00+00:00,,2,,23,,1,57,15,1,,
2023-01-03 14:50:00+00:00,,2,,21,,1,49,16,0,,
2023-01-03 15:00:00+00:00,,0,,25,,0,54,17,1,,
2023-01-03 15:10:00+00:00,,2,,14,,1,43,11,0,,
2023-01-03 15:20:00+00:00,,0,,21,,2,42,21,6,,
2023-01-03 15:30:00+00:00,,4,,21,,2,51,12,1,,
2023-01-03 15:40:00+00:00,,0,,17,,0,46,14,5,,
2023-01-03 15:50:00+00:00,,2,,25,,0,68,20,1,,
2023-01-03 16:00:00+00:00,,1,,31,,1,58,14,2,,
2023-01-03 16:10:00+00:00,,0,,21,,0,50,17,1,,
2023-01-03 16:20:00+00:00,,0,,15,,1,77,15,6,,
2023-01-03 16:30:00+00:00,,0,,16,,0,49,8,3,,
2023-01-03 16:40:00+00:00,,0,,15,,0,49,20,1,,
2023-01-03 16:50:00+00:00,,0,,18,,0,39,16,2,,
2023-01-03 17:00:00+00:00,,0,,20,,0,50,10,1,,
2023-01-03 17:10:00+00:00,,1,,15,,0,42,24,0,,
2023-01-03 17:20:00+00:00,,0,,17,,0,41,17,0,,
2023-01-03 17:30:00+00:00,,2,,14,,3,37,17,1,,
