Timestamp;Object_Id;MQ 5.1;Object_Id_1;MQ 5.2;
08.01.2023 10:00;MQ 5.1 KPB Ri Innenstadt;169;MQ 5.2 KPB Ri Neckarstadt;222;
08.01.2023 11:00;MQ 5.1 KPB Ri Innenstadt;284;MQ 5.2 KPB Ri Neckarstadt;288;
08.01.2023 12:00;MQ 5.1 KPB Ri Innenstadt;358;MQ 5.2 KPB Ri Neckarstadt;353;
08.01.2023 13:00;MQ 5.1 KPB Ri Innenstadt;404;MQ 5.2 KPB Ri Neckarstadt;443;
08.01.2023 14:00;MQ 5.1 KPB Ri Innenstadt;502;MQ 5.2 KPB Ri Neckarstadt;477;
08.01.2023 15:00;MQ 5.1 KPB Ri Innenstadt;468;MQ 5.2 KPB Ri Neckarstadt;569;
08.01.2023 16:00;MQ 5.1 KPB Ri Innenstadt;508;MQ 5.2 KPB Ri Neckarstadt;603;
08.01.2023 17:00;MQ 5.1 KPB Ri Innenstadt;548;MQ 5.2 KPB Ri Neckarstadt;585;
08.01.2023 18:00;MQ 5.1 KPB Ri Innenstadt;531;MQ 5.2 KPB Ri Neckarstadt;626;
08.01.2023 19:00;MQ 5.1 KPB Ri Innenstadt;489;MQ 5.2 KPB Ri Neckarstadt;499;
08.01.2023 20:00;MQ 5.1 KPB Ri Innenstadt;434;MQ 5.2 KPB Ri Neckarstadt;533;
08.01.2023 21:00;MQ 5.1 KPB Ri Innenstadt;304;MQ 5.2 KPB Ri Neckarstadt;474;
08.01.2023 22:00;MQ 5.1 KPB Ri Innenstadt;247;MQ 5.2 KPB Ri Neckarstadt;386;
08.01.2023 23:00;MQ 5.1 KPB Ri Innenstadt;206;MQ 5.2 KPB Ri Neckarstadt;293;
08.01.2023 23:59;MQ 5.1 KPB Ri Innenstadt;143;MQ 5.2 KPB Ri Neckarstadt;184;
09.01.2023 01:00;MQ 5.1 KPB Ri Innenstadt;74;MQ 5.2 KPB Ri Neckarstadt;113;
09.01.2023 02:00;MQ 5.1 KPB Ri Innenstadt;54;MQ 5.2 KPB Ri Neckarstadt;83;
09.01.2023 03:00;MQ 5.1 KPB Ri Innenstadt;49;MQ 5.2 KPB Ri Neckarstadt;55;
09.01.2023 04:00;MQ 5.1 KPB Ri Innenstadt;43;MQ 5.2 KPB Ri Neckarstadt;49;
09.01.2023 05:00;MQ 5.1 KPB Ri Innenstadt;88;MQ 5.2 KPB Ri Neckarstadt;69;
09.01.2023 06:00;MQ 5.1 KPB Ri Innenstadt;273;MQ 5.2 KPB Ri Neckarstadt;223;
09.01.2023 07:00;MQ 5.1 KPB Ri Innenstadt;463;MQ 5.2 KPB Ri Neckarstadt;416;
09.01.2023 08:00;MQ 5.1 KPB Ri Innenstadt;648;MQ 5.2 KPB Ri Neckarstadt;674;
09.01.2023 09:00;MQ 5.1 KPB Ri Innenstadt;642;MQ 5.2 KPB Ri Neckarstadt;677;
09.01.2023 10:00;MQ 5.1 KPB Ri Innenstadt;569;MQ 5.2 KPB Ri Neckarstadt;563;
09.01.2023 11:00;MQ 5.1 KPB Ri Innenstadt;535;MQ 5.2 KPB Ri Neckarstadt;601;
09.01.2023 12:00;MQ 5.1 KPB Ri Innenstadt;561;MQ 5.2 KPB Ri Neckarstadt;585;
09.01.2023 13:00;MQ 5.1 KPB Ri Innenstadt;493;MQ 5.2 KPB Ri Neckarstadt;662;
09.01.2023 14:00;MQ 5.1 KPB Ri Innenstadt;597;MQ 5.2 KPB Ri Neckarstadt;657;
09.01.2023 15:00;MQ 5.1 KPB Ri Innenstadt;607;MQ 5.2 KPB Ri Neckarstadt;740;
